,股票代码,p-value,时间长度,adf统计量,置信
0,MMM,0.494266352683417,3996,-1.5787346721828541,"{'1%': -3.4319887450134567, '5%': -2.862264107905561, '10%': -2.567155450408488}"
1,ABT,0.0030241031538815544,3997,-3.7887909293937923,"{'1%': -3.431988334447595, '5%': -2.8622639265398497, '10%': -2.567155353857025}"
2,ABBV,,748,,
3,ABMD,0.8403741692701074,3997,-0.7242263963066674,"{'1%': -3.431999076458594, '5%': -2.862268671768981, '10%': -2.5671578800184744}"
4,ACN,,3628,,
5,ATVI,0.27637431444154936,3997,-2.0234787273995676,"{'1%': -3.4319936879026813, '5%': -2.862266291403747, '10%': -2.5671566128112553}"
6,ADBE,0.13714680764734521,3997,-2.416451578537743,"{'1%': -3.4320003249927113, '5%': -2.862269223301515, '10%': -2.567158173631508}"
7,AMD,0.0001083748067082842,3997,-4.641195033647961,"{'1%': -3.4319999086046633, '5%': -2.8622690393645924, '10%': -2.5671580757111188}"
8,AAP,,3539,,
9,AES,6.102104964070161e-05,3997,-4.7738050727518315,"{'1%': -3.4320003249927113, '5%': -2.862269223301515, '10%': -2.567158173631508}"
10,AMG,0.6458499440822608,3997,-1.263168371164031,"{'1%': -3.4319941011564126, '5%': -2.862266473956485, '10%': -2.567156709994697}"
11,AFL,0.10428131265366491,3997,-2.547762519173749,"{'1%': -3.431988334447595, '5%': -2.8622639265398497, '10%': -2.567155353857025}"
12,A,7.832735435029233e-09,3997,-6.573415877153862,"{'1%': -3.4320003249927113, '5%': -2.862269223301515, '10%': -2.567158173631508}"
13,APD,0.7903617492277255,3997,-0.8927157822902593,"{'1%': -3.4319999086046633, '5%': -2.8622690393645924, '10%': -2.5671580757111188}"
14,AKAM,2.557391715125468e-11,3996,-7.589247033507181,"{'1%': -3.432000741590981, '5%': -2.862269407331276, '10%': -2.567158271601324}"
15,ALK,0.41914522380307023,3997,-1.7233080816598803,"{'1%': -3.431987924087406, '5%': -2.862263745264969, '10%': -2.56715525735392}"
16,ALB,0.13574204914487448,3995,-2.421565255084495,"{'1%': -3.431988334447595, '5%': -2.8622639265398497, '10%': -2.567155353857025}"
17,ARE,0.2477976732270621,3997,-2.091866504806971,"{'1%': -3.431998660700255, '5%': -2.862268488110152, '10%': -2.567157782246144}"
18,ALXN,0.8856116381068193,3997,-0.5320369281026878,"{'1%': -3.431996585049182, '5%': -2.8622675712029735, '10%': -2.5671572941229215}"
19,ALGN,,3745,,
20,ALLE,,526,,
21,AGN,,3934,,
22,ADS,,3651,,
23,LNT,0.9431590047743391,3997,-0.1596898521551431,"{'1%': -3.431989566762815, '5%': -2.862264470909746, '10%': -2.567155643656634}"
24,ALL,0.3749347995239942,3996,-1.8111610307227153,"{'1%': -3.432000741590981, '5%': -2.862269407331276, '10%': -2.567158271601324}"
25,GOOGL,,2855,,
26,GOOG,,438,,
